Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,56.267502,57.055000,56.049999,56.147499,54.608814,139223200
2019-10-02,55.764999,55.895000,54.482498,54.740002,53.239887,138449200
2019-10-03,54.607498,55.240002,53.782501,55.205002,53.692139,114426000
2019-10-04,56.410000,56.872501,55.972500,56.752499,55.197220,138478800
2019-10-07,56.567501,57.482498,56.459999,56.764999,55.209389,122306000
2019-10-08,56.455002,57.014999,56.082500,56.099998,54.562603,111820000
2019-10-09,56.757500,56.947498,56.410000,56.757500,55.202084,74770400
2019-10-10,56.982498,57.610001,56.825001,57.522499,55.946129,113013600
2019-10-11,58.237499,59.410000,58.077499,59.052502,57.434196,166795600
2019-10-14,58.724998,59.532501,58.667500,58.967499,57.351532,96427600
2019-10-15,59.097500,59.412498,58.720001,58.830002,57.217796,87360000
2019-10-16,58.342499,58.810001,58.299999,58.592499,56.986805,73903200
2019-10-17,58.772499,59.037498,58.380001,58.820000,57.208069,67585200
2019-10-18,58.647499,59.395000,58.572498,59.102501,57.482826,97433600
2019-10-21,59.380001,60.247501,59.330002,60.127499,58.479736,87247200
2019-10-22,60.290001,60.549999,59.904999,59.990002,58.346008,82293600
2019-10-23,60.525002,60.810001,60.305000,60.794998,59.128944,75828800
2019-10-24,61.127499,61.200001,60.452499,60.895000,59.226212,69275200
2019-10-25,60.790001,61.682499,60.720001,61.645000,59.955662,73477200
2019-10-28,61.855000,62.312500,61.680000,62.262501,60.556232,96572800
2019-10-29,62.242500,62.437500,60.642502,60.822498,59.155693,142839600
2019-10-30,61.189999,61.325001,60.302502,60.814999,59.148392,124522000
2019-10-31,61.810001,62.292500,59.314999,62.189999,60.485718,139162000
2019-11-01,62.384998,63.982498,62.290001,63.955002,62.202354,151125200
2019-11-04,64.332497,64.462502,63.845001,64.375000,62.610832,103272000
2019-11-05,64.262497,64.547501,64.080002,64.282501,62.520882,79897600
2019-11-06,64.192497,64.372498,63.842499,64.309998,62.547607,75864400
2019-11-07,64.684998,65.087502,64.527496,64.857498,63.269497,94940400
2019-11-08,64.672501,65.110001,64.212502,65.035004,63.442669,69986400
2019-11-11,64.574997,65.617500,64.570000,65.550003,63.945057,81821200
2019-11-12,65.387497,65.697502,65.230003,65.489998,63.886509,87388800
2019-11-13,65.282501,66.195000,65.267502,66.117500,64.498634,102734400
2019-11-14,65.937500,66.220001,65.525002,65.660004,64.052345,89182800
2019-11-15,65.919998,66.445000,65.752502,66.440002,64.813255,100206400
2019-11-18,66.449997,66.857498,66.057503,66.775002,65.140053,86703200
2019-11-19,66.974998,67.000000,66.347504,66.572502,64.942513,76167200
2019-11-20,66.385002,66.519997,65.099998,65.797501,64.186478,106234400
2019-11-21,65.922501,66.002502,65.294998,65.502502,63.898697,121395200
2019-11-22,65.647499,65.794998,65.209999,65.445000,63.842617,65325200
2019-11-25,65.677498,66.610001,65.629997,66.592499,64.962029,84020400
2019-11-26,66.735001,66.790001,65.625000,66.072502,64.454750,105207600
2019-11-27,66.394997,66.995003,66.327499,66.959999,65.320526,65235600
2019-11-29,66.650002,67.000000,66.474998,66.812500,65.176620,46617600
2019-12-02,66.817497,67.062500,65.862503,66.040001,64.423042,94487200
2019-12-03,64.577499,64.882500,64.072502,64.862503,63.274376,114430400
2019-12-04,65.267502,65.827499,65.169998,65.434998,63.832859,67181600
2019-12-05,65.947502,66.472504,65.682503,66.394997,64.769341,74424400
2019-12-06,66.870003,67.750000,66.824997,67.677498,66.020454,106075600
2019-12-09,67.500000,67.699997,66.227501,66.730003,65.096146,128042400
2019-12-10,67.150002,67.517502,66.464996,67.120003,65.476601,90420400
2019-12-11,67.202499,67.775002,67.125000,67.692497,66.035095,78756800
2019-12-12,66.945000,68.139999,66.830002,67.864998,66.203362,137310400
2019-12-13,67.864998,68.824997,67.732498,68.787498,67.103279,133587600
2019-12-16,69.250000,70.197502,69.245003,69.964996,68.251938,128186000
2019-12-17,69.892502,70.442497,69.699997,70.102501,68.386078,114158400
2019-12-18,69.949997,70.474998,69.779999,69.934998,68.222679,116028400
2019-12-19,69.875000,70.294998,69.737503,70.004997,68.290970,98369200
2019-12-20,70.557503,70.662498,69.639999,69.860001,68.149521,275978000
2019-12-23,70.132500,71.062500,70.092499,71.000000,69.261612,98572000
2019-12-24,71.172501,71.222504,70.730003,71.067497,69.327446,48478800
2019-12-26,71.205002,72.495003,71.175003,72.477501,70.702919,93121200
2019-12-27,72.779999,73.492500,72.029999,72.449997,70.676102,146266000
2019-12-30,72.364998,73.172501,71.305000,72.879997,71.095566,144114400
2019-12-31,72.482498,73.419998,72.379997,73.412498,71.615036,100805600
2020-01-02,74.059998,75.150002,73.797501,75.087502,73.249016,135480400
2020-01-03,74.287498,75.144997,74.125000,74.357498,72.536896,146322800
2020-01-06,73.447502,74.989998,73.187500,74.949997,73.114899,118387200
2020-01-07,74.959999,75.224998,74.370003,74.597504,72.771019,108872000
2020-01-08,74.290001,76.110001,74.290001,75.797501,73.941635,132079200
2020-01-09,76.809998,77.607498,76.550003,77.407501,75.512215,170108400
2020-01-10,77.650002,78.167503,77.062500,77.582497,75.682938,140644800
2020-01-13,77.910004,79.267502,77.787498,79.239998,77.299850,121532000
2020-01-14,79.175003,79.392502,78.042503,78.169998,76.256050,161954400
2020-01-15,77.962502,78.875000,77.387497,77.834999,75.929268,121923600
2020-01-16,78.397499,78.925003,78.022499,78.809998,76.880379,108829200
2020-01-17,79.067497,79.684998,78.750000,79.682503,77.731522,137816400
2020-01-21,79.297501,79.754997,79.000000,79.142502,77.204742,110843200
2020-01-22,79.644997,79.997498,79.327499,79.425003,77.480316,101832400
2020-01-23,79.480003,79.889999,78.912498,79.807503,77.853455,104472000
2020-01-24,80.062500,80.832497,79.379997,79.577499,77.629089,146537600
2020-01-27,77.514999,77.942497,76.220001,77.237503,75.346390,161940000
2020-01-28,78.150002,79.599998,78.047501,79.422501,77.477875,162234000
2020-01-29,81.112503,81.962502,80.345001,81.084999,79.099686,216229200
2020-01-30,80.135002,81.022499,79.687500,80.967499,78.985046,126743200
2020-01-31,80.232498,80.669998,77.072502,77.377502,75.482948,199588400
2020-02-03,76.074997,78.372498,75.555000,77.165001,75.275658,173788400
2020-02-04,78.827499,79.910004,78.407501,79.712502,77.760773,136616400
2020-02-05,80.879997,81.190002,79.737503,80.362503,78.394867,118826800
2020-02-06,80.642502,81.305000,80.065002,81.302498,79.311852,105425600
2020-02-07,80.592499,80.849998,79.500000,80.007500,78.233788,117684000
2020-02-10,78.544998,80.387497,78.462502,80.387497,78.605377,109348800
2020-02-11,80.900002,80.974998,79.677498,79.902496,78.131111,94323200
2020-02-12,80.367500,81.805000,80.367500,81.800003,79.986557,113730400
2020-02-13,81.047501,81.555000,80.837502,81.217499,79.416969,94747600
2020-02-14,81.184998,81.495003,80.712502,81.237503,79.436531,80113600
2020-02-18,78.839996,79.937500,78.652496,79.750000,77.981995,152531200
2020-02-19,80.000000,81.142502,80.000000,80.904999,79.111397,93984000
2020-02-20,80.657501,81.162498,79.552498,80.074997,78.299789,100566000
2020-02-21,79.654999,80.112503,77.625000,78.262497,76.527481,129554000
2020-02-24,74.315002,76.044998,72.307503,74.544998,72.892395,222195200
2020-02-25,75.237503,75.632500,71.532501,72.019997,70.423363,230673600
2020-02-26,71.632500,74.470001,71.625000,73.162498,71.540543,198054800
2020-02-27,70.275002,71.500000,68.239998,68.379997,66.864059,320605600
2020-02-28,64.315002,69.602501,64.092499,68.339996,66.824951,426510000
2020-03-02,70.570000,75.360001,69.430000,74.702499,73.046402,341397200
2020-03-03,75.917503,76.000000,71.449997,72.330002,70.726486,319475600
2020-03-04,74.110001,75.849998,73.282501,75.684998,74.007118,219178400
2020-03-05,73.879997,74.887497,72.852501,73.230003,71.606544,187572800
2020-03-06,70.500000,72.705002,70.307503,72.257500,70.655594,226176800
2020-03-09,65.937500,69.522499,65.750000,66.542503,65.067299,286744800
2020-03-10,69.285004,71.610001,67.342499,71.334999,69.753548,285290000
2020-03-11,69.347504,70.305000,67.964996,68.857498,67.330971,255598800
2020-03-12,63.985001,67.500000,62.000000,62.057499,60.681728,418474000
2020-03-13,66.222504,69.980003,63.237499,69.492500,67.951912,370732000
2020-03-16,60.487499,64.769997,60.000000,60.552502,59.210098,322423600
2020-03-17,61.877499,64.402496,59.599998,63.215000,61.813568,324056000
2020-03-18,59.942501,62.500000,59.279999,61.667500,60.300377,300233600
2020-03-19,61.847500,63.209999,60.652500,61.195000,59.838356,271857200
2020-03-20,61.794998,62.957500,57.000000,57.310001,56.039478,401693200
2020-03-23,57.020000,57.125000,53.152500,56.092499,54.848969,336752800
2020-03-24,59.090000,61.922501,58.575001,61.720001,60.351711,287531200
2020-03-25,62.687500,64.562500,61.075001,61.380001,60.019245,303602000
2020-03-26,61.630001,64.669998,61.590000,64.610001,63.177643,252087200
2020-03-27,63.187500,63.967499,61.762501,61.935001,60.561943,204216800
2020-03-30,62.685001,63.880001,62.349998,63.702499,62.290260,167976400
2020-03-31,63.900002,65.622498,63.000000,63.572498,62.163139,197002000
2020-04-01,61.625000,62.180000,59.782501,60.227501,58.892303,176218400
2020-04-02,60.084999,61.287498,59.224998,61.232498,59.875011,165934000
2020-04-03,60.700001,61.424999,59.742500,60.352501,59.014538,129880000
2020-04-06,62.724998,65.777496,62.345001,65.617500,64.162804,201820400
2020-04-07,67.699997,67.925003,64.750000,64.857498,63.419655,202887200
2020-04-08,65.684998,66.842499,65.307503,66.517502,65.042862,168895200
2020-04-09,67.175003,67.517502,66.175003,66.997498,65.512222,161834800
2020-04-13,67.077499,68.425003,66.457497,68.312500,66.798065,131022800
2020-04-14,70.000000,72.062500,69.512497,71.762497,70.171562,194994800
2020-04-15,70.599998,71.582497,70.157501,71.107498,69.531090,131154400
2020-04-16,71.845001,72.050003,70.587502,71.672501,70.083565,157125200
2020-04-17,71.172501,71.737503,69.214996,70.699997,69.132637,215250000
2020-04-20,69.487503,70.419998,69.212502,69.232498,67.697662,130015200
2020-04-21,69.070000,69.312500,66.357498,67.092499,65.605110,180991600
2020-04-22,68.402496,69.474998,68.050003,69.025002,67.494766,116862400
2020-04-23,68.967499,70.437500,68.717499,68.757500,67.233208,124814400
2020-04-24,69.300003,70.752502,69.250000,70.742500,69.174187,126161200
2020-04-27,70.449997,71.135002,69.987503,70.792503,69.223099,117087600
2020-04-28,71.269997,71.457497,69.550003,69.644997,68.101036,112004800
